f'{Freq[0]:.8f},{Freq[1]:.8f},{Gnm[0]:.8f},{Gnm[1]:.8f},{pM[0]:.8f},{pM[1]:.8f},{FreqF:.8f},{LTP:.8E}\n'
0.07000000,0.12166200,42.11355000,45.38697000,0.00000000,0.00000000,0.00000000,-3.65436180E+03
0.06000000,0.13166200,42.11355000,45.38697000,0.00000000,0.00000000,0.00000000,-3.65121262E+03
0.05000000,0.14166200,42.11355000,45.38697000,0.00000000,0.00000000,0.00000000,-3.64910820E+03
0.04000000,0.15166200,42.11355000,45.38697000,0.00000000,0.00000000,0.00000000,-3.64841332E+03
0.04000000,0.14166200,42.11355000,45.38697000,0.00000000,0.00000000,0.00000000,-3.65059946E+03
0.04000000,0.16166200,42.11355000,45.38697000,0.00000000,0.00000000,0.00000000,-3.65170110E+03
0.03000000,0.16166200,42.11355000,45.38697000,0.00000000,0.00000000,0.00000000,-3.64964064E+03
0.02000000,0.17166200,42.11355000,45.38697000,0.00000000,0.00000000,0.00000000,-3.65387515E+03
0.03000000,0.16166200,41.11355000,45.38697000,0.00000000,0.00000000,0.00000000,-3.64971263E+03
0.03000000,0.16166200,43.11355000,45.38697000,0.00000000,0.00000000,0.00000000,-3.64958005E+03
0.03000000,0.16166200,44.11355000,45.38697000,0.00000000,0.00000000,0.00000000,-3.64953013E+03
0.03000000,0.16166200,45.11355000,45.38697000,0.00000000,0.00000000,0.00000000,-3.64949026E+03
0.03000000,0.16166200,46.11355000,45.38697000,0.00000000,0.00000000,0.00000000,-3.64945986E+03
0.03000000,0.16166200,49.11355000,45.38697000,0.00000000,0.00000000,0.00000000,-3.64942052E+03
0.03000000,0.16166200,54.11355000,45.38697000,0.00000000,0.00000000,0.00000000,-3.64950335E+03
0.03000000,0.16166200,52.11355000,45.38697000,0.00000000,0.00000000,0.00000000,-3.64945011E+03
0.03000000,0.16166200,50.11355000,45.38697000,0.00000000,0.00000000,0.00000000,-3.64942324E+03
=======================================================
0.03000000,0.16166200,49.11355000,45.38697000,0.00000000,0.00000000,0.00000000,-3.64942052E+03
0.03000000,0.16166200,49.11355000,44.38697000,0.00000000,0.00000000,0.00000000,-3.64922428E+03
0.03000000,0.16166200,49.11355000,43.38697000,0.00000000,0.00000000,0.00000000,-3.64911465E+03
0.03000000,0.16166200,49.11355000,42.38697000,0.00000000,0.00000000,0.00000000,-3.64909916E+03
0.03000000,0.16166200,49.11355000,38.38697000,0.00000000,0.00000000,0.00000000,-3.65015698E+03
0.03000000,0.16166200,49.11355000,41.38697000,0.00000000,0.00000000,0.00000000,-3.64918606E+03
=======================================================
0.03000000,0.16166200,49.11355000,42.38697000,0.00000000,0.00000000,0.00000000,-3.64909916E+03
0.04000000,0.15166200,49.11355000,42.38697000,0.00000000,0.00000000,0.00000000,-3.64796888E+03
0.05000000,0.14166200,49.11355000,42.38697000,0.00000000,0.00000000,0.00000000,-3.64894264E+03
0.04500000,0.14666200,49.11355000,42.38697000,0.00000000,0.00000000,0.00000000,-3.64828124E+03
0.03500000,0.15666200,49.11355000,42.38697000,0.00000000,0.00000000,0.00000000,-3.64814759E+03
=======================================================
0.04000000,0.15166200,49.11355000,42.38697000,0.00000000,0.00000000,0.00000000,-3.64796888E+03
0.04000000,0.16166200,49.11355000,42.38697000,0.00000000,0.00000000,0.00000000,-3.65117598E+03
0.04000000,0.14166200,49.11355000,42.38697000,0.00000000,0.00000000,0.00000000,-3.65024337E+03
0.04000000,0.15166200,48.11355000,42.38697000,0.00000000,0.00000000,0.00000000,-3.64798762E+03
0.04000000,0.15166200,48.61355000,42.38697000,0.00000000,0.00000000,0.00000000,-3.64797677E+03
0.04000000,0.15166200,48.41355000,42.38697000,0.00000000,0.00000000,0.00000000,-3.64798075E+03
0.04000000,0.15166200,48.21355000,42.38697000,0.00000000,0.00000000,0.00000000,-3.64798521E+03
0.04000000,0.15166200,49.01355000,42.38697000,0.00000000,0.00000000,0.00000000,-3.64797022E+03
0.04000000,0.15166200,49.21355000,42.38697000,0.00000000,0.00000000,0.00000000,-3.64796764E+03
0.04000000,0.15166200,49.31355000,42.38697000,0.00000000,0.00000000,0.00000000,-3.64796653E+03
0.04000000,0.15166200,49.31355000,41.38697000,0.00000000,0.00000000,0.00000000,-3.64802834E+03
0.04000000,0.15166200,49.31355000,41.88697000,0.00000000,0.00000000,0.00000000,-3.64798540E+03
0.04000000,0.15166200,49.31355000,42.48697000,0.00000000,0.00000000,0.00000000,-3.64796555E+03
0.04000000,0.15166200,49.31355000,42.58697000,0.00000000,0.00000000,0.00000000,-3.64796549E+03
0.03900000,0.15266200,49.31355000,42.58697000,0.00000000,0.00000000,0.00000000,-3.64795172E+03
0.03700000,0.15466200,49.31355000,42.58697000,0.00000000,0.00000000,0.00000000,-3.64799183E+03
0.03800000,0.15366200,49.31355000,42.58697000,0.00000000,0.00000000,0.00000000,-3.64795954E+03




bkl;ajkl;jgl;bjkla;tjgbk lajg.dgk;bng gjbpgnikg.bmg;t,gjbpgnikg
0.10000000,0.13666200,47.11355000,43.38697000,0.00000000,0.00000000,0.00000000,-3.70910709E+03
0.08000000,0.15666200,47.11355000,43.38697000,0.00000000,0.00000000,0.00000000,-3.70152754E+03
0.06000000,0.17666200,47.11355000,43.38697000,0.00000000,0.00000000,0.00000000,-3.69831346E+03
0.06000000,0.17266200,47.11355000,43.38697000,0.00000000,0.00000000,0.00000000,-3.69021905E+03
0.06000000,0.17066200,47.11355000,43.38697000,0.00000000,0.00000000,0.00000000,-3.68644514E+03
0.06000000,0.16866200,47.11355000,43.38697000,0.00000000,0.00000000,0.00000000,-3.68285498E+03
0.06000000,0.16666200,47.11355000,43.38697000,0.00000000,0.00000000,0.00000000,-3.67944975E+03
0.06000000,0.16366200,47.11355000,43.38697000,0.00000000,0.00000000,0.00000000,-3.67469139E+03
0.06000000,0.15666200,47.11355000,43.38697000,0.00000000,0.00000000,0.00000000,-3.66524192E+03
0.06000000,0.14166200,47.11355000,43.38697000,0.00000000,0.00000000,0.00000000,-3.65302704E+03
0.06000000,0.12166200,47.11355000,43.38697000,0.00000000,0.00000000,0.00000000,-3.65474623E+03
0.06000000,0.13166200,47.11355000,43.38697000,0.00000000,0.00000000,0.00000000,-3.65122524E+03
0.06000000,0.13166200,46.11355000,43.38697000,0.00000000,0.00000000,0.00000000,-3.65118976E+03
